[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/Logo.tsx → 200 (7ms, 7711B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/data/questions.ts → 200 (7ms, 27896B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/lib/utils.ts → 200 (7ms, 738B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/hooks/useStudentProgress.ts → 200 (9ms, 42076B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/question/QuestionCard.tsx → 200 (8ms, 27171B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/feedback/FeedbackCard.tsx → 200 (8ms, 62649B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/layout/AppLayout.tsx → 200 (8ms, 30975B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/ui/input.tsx → 200 (8ms, 4936B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/lib/pdfExport.ts → 200 (9ms, 31189B)
[2026-04-01T01:17:42.851Z] GET http://localhost:5174/node_modules/.vite/deps/@supabase_supabase-js.js?v=240bc27f → 200 (?ms, 531317B)
[2026-04-01T01:17:42.881Z] GET http://localhost:5174/node_modules/.vite/deps/class-variance-authority.js?v=240bc27f → 200 (1ms, 2345B)
[2026-04-01T01:17:42.883Z] GET http://localhost:5174/node_modules/.vite/deps/radix-ui.js?v=240bc27f → 200 (?ms, 593707B)
[2026-04-01T01:17:42.891Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-6WBQ3PW6.js?v=240bc27f → 200 (?ms, 1924B)
[2026-04-01T01:17:42.892Z] GET http://localhost:5174/src/data/questions-bank-math-algebra.ts → 200 (20ms, 894152B)
[2026-04-01T01:17:42.892Z] GET http://localhost:5174/src/data/questions-bank-math-advanced.ts → 200 (22ms, 662573B)
[2026-04-01T01:17:42.892Z] GET http://localhost:5174/src/data/questions-bank-math-problem-solving.ts → 200 (22ms, 740716B)
